Filial;Pedido;Ped EBS;Razão Social;Fim Ciclo;OTIF;ON_TIME;IN_FULL;Data Emissão;Data Previsão;Data Ult Ent;Prev KG;Entregue KG;Cancel KG;Pendente KG;CNPJ
01M;93819369;33539112;FORPAN FORTALEZA PAO LTDA;S;S;S;S;28/01/2022;01/02/2022;01/02/2022;1200;1200;0;0;5,81548E+12
01M;93819370;33539113;FORPAN FORTALEZA PAO LTDA;S;S;S;S;28/01/2022;01/02/2022;01/02/2022;1800;1800;0;0;5,81548E+12
01M;76652852;33413088;TAVARES & NOBRE SUPERMERCADOS LTDA;N;;;;06/01/2022;10/01/2022;01/02/2022;447,307;411,159;1,2;34,948;1,67857E+13
01M;76652913;33484699;TAVARES & NOBRE SUPERMERCADOS LTDA;N;;;;19/01/2022;20/01/2022;01/02/2022;307,959;231,369;1,2;75,39;1,67857E+13
01M;76652969;33519588;TAVARES & NOBRE SUPERMERCADOS LTDA;N;;;;25/01/2022;27/01/2022;01/02/2022;218,95;150,972;0;67,978;1,67857E+13
421;32504726;33530744;HYOHANNA SILVA FREITAS 05931735380;S;N;S;N;27/01/2022;03/02/2022;01/02/2022;53,91;31,96;21,95;0;2,77417E+13
421;32504622;33372658;CLAUDIANO F. DE SOUZA - ME;S;N;N;N;28/12/2021;07/01/2022;01/02/2022;231,242;214,022;17,22;0;4,45336E+12
426;30265537;33508450;ANTONIO FONTINELES REIS 75713462315;S;N;N;S;24/01/2022;31/01/2022;01/02/2022;10;10;0;0;3,32671E+13
426;6501645;33508451;ANTONIO FONTINELES REIS 75713462315;S;N;N;N;24/01/2022;31/01/2022;01/02/2022;89,228;79,388;9,84;-1,42E-14;3,32671E+13
421;48313170;33528641;CARVALHO & MESQUITA LTDA - ME;S;S;S;S;27/01/2022;03/02/2022;01/02/2022;70;70;0;0;1,6027E+12
01M;40950640;33510713;J. R. XIMENES FROTA - ME;S;N;N;N;24/01/2022;26/01/2022;01/02/2022;337,044;317,256;19,788;0;2,01788E+12
433;59534740;33498692;DIA A DIA SUPER ATACADO LTDA;S;N;N;N;20/01/2022;28/01/2022;01/02/2022;2784,496;2456,696;327,8;0;1,84295E+13
433;59536705;33538100;DIA A DIA SUPER ATACADO LTDA;S;N;S;N;20/01/2022;04/02/2022;01/02/2022;372,4;324,4;48;0;1,84295E+13
20;12871712;33509320;FRANCISCO FEITOSA DOS SANTOS MERCADINHO;S;S;S;S;24/01/2022;03/02/2022;01/02/2022;43,6;43,6;0;0;1,37092E+13
421;32504721;33525827;ANTONIO FROTA FILHO ME;S;S;S;S;26/01/2022;03/02/2022;01/02/2022;53,284;53,284;0;0;1,10677E+13
01M;23672343;33533133;MARIA APARECIDA DA SILVA NASCIMENTO 75282593300;S;N;N;N;27/01/2022;31/01/2022;01/02/2022;51,3475;49,48982;1,85768;-7,11E-15;1,92514E+13
01M;23672344;33533134;MARIA APARECIDA DA SILVA NASCIMENTO 75282593300;S;N;N;S;27/01/2022;31/01/2022;01/02/2022;0,48;0,48;0;0;1,92514E+13
20;60950288;33529352;ROGERIO MOREIRA PEIXOTO ME;S;N;S;N;27/01/2022;04/02/2022;01/02/2022;48;24;24;0;7,3543E+13
20;35474089;33524758;A. A. MOREIRA SUPERMERCADO EIRELI - ME;S;N;S;N;26/01/2022;03/02/2022;01/02/2022;708,68;395,66;313,02;-1,14E-13;3,74071E+13
421;54940767;33517947;CRISTIANA CAMPOS DA SILVA 99529211368;S;S;S;S;25/01/2022;03/02/2022;01/02/2022;3000;3000;0;0;2,34257E+13
01M;92661937;33505358;ISM GOMES DE MATTOS EIRELI;N;;;;24/01/2022;25/01/2022;01/02/2022;1600;344;0;1256;4,22863E+12
20;70833776;33531570;LUIZ PEREIRA MATIAS ME;S;N;S;N;27/01/2022;03/02/2022;01/02/2022;87,43;83,715;3,715;0;3,50339E+13
23;42125006;33529860;MARIA DA CONCEICAO C SAMPAIO MEE;N;;;;26/01/2022;07/02/2022;01/02/2022;43,352;40,952;0;2,4;2,922E+12
20;70833780;33535692;ANDRE SILVIO GOMES DOS SANTOS;N;;;;28/01/2022;03/02/2022;01/02/2022;269,55;235,95;0;33,6;7,2661E+12
01M;87385479;33502150;GLEDSON RIBEIRO FERREIRA;S;N;N;S;22/01/2022;25/01/2022;01/02/2022;410;410;0;0;3,14197E+13
01M;87385532;33531157;GLEDSON RIBEIRO FERREIRA;S;N;N;S;27/01/2022;28/01/2022;01/02/2022;402;402;0;0;3,14197E+13
01M;87385535;33538052;GLEDSON RIBEIRO FERREIRA;S;N;N;N;28/01/2022;29/01/2022;01/02/2022;204,42;189,9;14,52;-2,84E-14;3,14197E+13
421;32504719;33525826;F G ARAUJO FERREIRA - ME;S;S;S;S;26/01/2022;03/02/2022;01/02/2022;33,18;33,18;0;0;9,06434E+12
421;48313123;33492476;FRANCISCO LEANDRO DA SILVA RIBEIRO 07944891337;S;N;N;N;20/01/2022;27/01/2022;01/02/2022;31,2;22,2;9;0;2,51955E+13
20;70833766;33516887;NEURIANE VIEIRA DE OLIVEIRA 05490131306;S;N;S;N;25/01/2022;03/02/2022;01/02/2022;113,44;109,9;3,54;-1,42E-14;2,71712E+13
20;12871733;33530659;MARIA GERALDA BARBOSA ALBUQUERQUE;S;N;S;N;27/01/2022;03/02/2022;01/02/2022;44,8;32,6;12,2;0;7,33975E+12
20;70833765;33516886;LUCAS FRANCISCO DO NASCIMENTO;S;S;S;S;25/01/2022;03/02/2022;01/02/2022;32,63;32,63;0;0;2,82973E+13
01M;23672349;33536758;ROSIMAR FERREIRA DA COSTA OLIVEIRA 79688578304;S;N;N;S;28/01/2022;31/01/2022;01/02/2022;300;300;0;0;2,56856E+13
21;7955001;33356749;E E FURTADO FERREIRA - ME;S;N;N;N;23/12/2021;29/12/2021;01/02/2022;1019,218;943,86;75,358;1,14E-13;1,35447E+13
421;66578927;33506957;JOSE MARIA LAURINDO VERAS ME;S;N;S;N;24/01/2022;03/02/2022;01/02/2022;54;46;8;0;7,35648E+13
